2|35|10|34|1|6|103
3|35|56|34|1|6|1262
4|35|197|34|1|6|3511
5|35|1537|34|1|6|38977
6|35|5505|34|1|6|106608
2|35|6|34|1|6|103
3|35|60|34|1|6|1262
4|35|208|34|1|6|3511
5|35|1684|34|1|6|38977
6|35|5552|34|1|6|106608
2|35|11|34|1|6|103
3|35|55|34|1|6|1262
4|35|192|34|1|6|3511
5|35|1539|34|1|6|38977
6|35|5698|34|1|6|106608
2|3|0|3|0|2|8
3|3|0|3|0|2|15
4|3|0|3|0|2|15
5|3|0|3|0|2|15
6|3|1|3|0|2|15
2|29|6|20|9|6|110
3|29|56|20|9|6|1114
4|29|171|20|9|6|3317
5|29|1316|20|9|6|29325
6|29|5039|20|9|6|94390
2|71|33|53|18|10|273
3|71|475|53|18|10|5169
4|71|1826|53|18|10|14792
5|71|29194|53|18|10|328973
6|71|120089|53|18|10|998599
2|319|457|234|85|21|956
3|319|30108|234|85|21|101739
4|319|169366|234|85|21|403741
5|319|9444650|234|85|21|31741996
2|46|28|34|12|8|136
3|46|152|34|12|8|2228
4|46|656|34|12|8|8771
5|46|6267|34|12|8|105320
2|3|0|3|0|2|8
3|3|1|3|0|2|15
4|3|1|3|0|2|15
2|29|10|20|9|6|110
3|29|55|20|9|6|1114
4|29|163|20|9|6|3317
2|71|32|53|18|10|273
3|71|432|53|18|10|5169
4|71|1750|53|18|10|14792
2|319|452|234|85|21|956
3|319|30230|234|85|21|101739
4|319|168811|234|85|21|403741
2|46|13|34|12|8|136
3|46|136|34|12|8|2228
4|46|657|34|12|8|8771
2|158|118|110|48|15|472
3|158|4213|110|48|15|25776
4|158|21842|110|48|15|97882
2|61|22|47|14|10|180
3|61|322|47|14|10|3834
4|61|1192|47|14|10|10830
2|7|1|5|2|3|19
3|7|2|5|2|3|46
4|7|4|5|2|3|89
2|37|7|25|12|7|109
3|37|77|25|12|7|1404
4|37|321|25|12|7|5208
2|173|153|130|43|16|516
3|173|5468|130|43|16|30263
4|173|23582|130|43|16|88751
2|199|190|145|54|17|594
3|199|8105|145|54|17|39759
4|199|52511|145|54|17|194784
2|3|0|3|0|2|11
3|3|0|3|0|2|18
4|3|0|3|0|2|18
2|185|162|129|56|16|553
3|185|6410|129|56|16|34375
4|185|40444|129|56|16|166314
2|26|5|19|7|6|96
3|26|31|19|7|6|724
4|26|113|19|7|6|2264
2|412|756|286|126|24|1234
3|412|65894|286|126|24|170525
4|412|306270|286|126|24|504942
2|51|16|34|17|9|151
3|51|226|34|17|9|3114
4|51|784|34|17|9|8445
2|146|101|109|37|15|433
3|146|3459|109|37|15|21422
4|146|14364|109|37|15|61901
2|113|75|79|34|13|337
3|113|1690|79|34|13|12835
4|113|6985|79|34|13|38151
2|122|88|90|32|13|479
3|122|1914|90|32|13|14883
4|122|9471|90|32|13|55814
2|194|182|139|55|17|580
3|194|7603|139|55|17|37425
4|194|32754|139|55|17|110177
2|4|0|2|2|3|11
3|4|0|2|2|3|11
4|4|0|2|2|3|11
2|33|7|25|8|7|97
3|33|65|25|8|7|1248
4|33|210|25|8|7|3210
2|158|141|123|35|15|473
3|158|4130|123|35|15|25621
4|158|18200|123|35|15|75727
2|313|471|223|90|21|937
3|313|29409|223|90|21|97666
4|313|136775|223|90|21|290386
2|173|146|128|45|16|518
3|173|5612|128|45|16|30752
4|173|23963|128|45|16|89910
2|295|400|220|75|21|884
3|295|26110|220|75|21|87320
4|295|141297|220|75|21|343440
2|33|9|26|7|7|130
3|33|69|26|7|7|1205
4|33|258|26|7|7|4236
2|10|1|6|4|4|28
3|10|4|6|4|4|142
4|10|8|6|4|4|266
2|200|266|152|48|17|989
3|200|8113|152|48|17|40204
4|200|59245|152|48|17|235576
2|231|262|162|69|18|693
3|231|12276|162|69|18|54637
4|231|56755|162|69|18|160518
2|96|46|74|22|11|284
3|96|945|74|22|11|9727
4|96|3785|74|22|11|26284
2|36|10|27|9|8|141
3|36|100|27|9|8|1471
4|36|355|27|9|8|5123
2|327|499|223|104|22|978
3|327|35366|223|104|22|107843
4|327|162061|223|104|22|318905
2|223|248|167|56|18|666
3|223|11249|167|56|18|50160
4|223|63723|167|56|18|205927
2|45|16|34|11|8|175
3|45|141|34|11|8|2186
4|45|594|34|11|8|7824
2|396|1160|294|102|24|2368
3|396|63140|294|102|24|165825
4|396|416575|294|102|24|803536
2|129|100|91|38|13|509
3|129|2188|91|38|13|17116
4|129|9756|91|38|13|48914
2|389|706|275|114|24|1163
3|389|58710|275|114|24|152813
4|389|270086|275|114|24|451410
2|441|882|302|139|25|1326
3|441|81950|302|139|25|197901
4|441|384432|302|139|25|584848
2|1|0|1|0|2|2
3|1|0|1|0|2|2
4|1|0|1|0|2|2
2|12|2|9|3|4|68
3|12|7|9|3|4|234
4|12|28|9|3|4|985
2|89|44|63|26|12|265
3|89|939|63|26|12|8164
4|89|3487|63|26|12|22765
2|46|18|36|10|8|226
3|46|155|36|10|8|2405
4|46|780|36|10|8|10698
2|33|6|29|4|7|96
3|33|59|29|4|7|1208
4|33|204|29|4|7|3184
2|142|104|100|42|15|424
3|142|3484|100|42|15|21082
4|142|17159|100|42|15|79385
2|134|88|95|39|14|397
3|134|2581|95|39|14|18022
4|134|10879|95|39|14|52681
2|102|52|76|26|12|300
3|102|1312|76|26|12|11269
4|102|4861|76|26|12|30338
2|17|2|15|2|5|66
3|17|18|15|2|5|526
4|17|43|15|2|5|1140
2|43|14|30|13|8|167
3|43|118|30|13|8|1939
4|43|521|30|13|8|6978
